topic_import_id,subcategory,event,question,answer_type,answer_options,start_date,expiration_date,resolution_date,priority
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,Who will win Game 1 of the 2025-2026 NBA Finals between New York Knicks and OKC / SAS?,multiple_choice,New York Knicks||OKC / SAS,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,1
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,Who will win Game 2 of the 2025-2026 NBA Finals between New York Knicks and OKC / SAS?,multiple_choice,New York Knicks||OKC / SAS,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,1
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,Who will win Game 3 of the 2025-2026 NBA Finals between New York Knicks and OKC / SAS?,multiple_choice,New York Knicks||OKC / SAS,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,1
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,Who will win Game 4 of the 2025-2026 NBA Finals between New York Knicks and OKC / SAS?,multiple_choice,New York Knicks||OKC / SAS,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,1
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,How many points will Jalen Brunson score in Game 1 of the 2025-2026 NBA Finals?,multiple_choice,Under 18||18-22||23-27||28-32||33+,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,2
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,How many points will OG Anunoby score in Game 1 of the 2025-2026 NBA Finals?,multiple_choice,Under 18||18-22||23-27||28-32||33+,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,2
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,How many points will Jalen Brunson score in Game 2 of the 2025-2026 NBA Finals?,multiple_choice,Under 18||18-22||23-27||28-32||33+,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,2
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,How many points will OG Anunoby score in Game 2 of the 2025-2026 NBA Finals?,multiple_choice,Under 18||18-22||23-27||28-32||33+,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,2
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,How many points will Jalen Brunson score in Game 3 of the 2025-2026 NBA Finals?,multiple_choice,Under 18||18-22||23-27||28-32||33+,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,2
nba-finals-2026,NBA,OKC / SAS vs New York Knicks,How many points will OG Anunoby score in Game 3 of the 2025-2026 NBA Finals?,multiple_choice,Under 18||18-22||23-27||28-32||33+,2026-06-03T00:30:00,2026-06-04T00:30:00,2026-06-04T04:30:00,2
